Mouse #,Total__Femur BV (mm³),Diaphysis Cortical__Femur Cortical Volume (mm3),Diaphysis Cortical__Femur Marrow Volume (mm3),Diaphysis Cortical__Femur pMOI (mm4),Metaphysis Cancellous__Femur BV/TV (%),Metaphysis Cancellous__Femur Tb.Th (µm),Metaphysis Cancellous__Femur Tb.Sp (µm),Epiphysis Cancellous__Femur BV/TV (%),Epiphysis Cancellous__Femur Tb.Th (µm),Epiphysis Cancellous__Femur Tb.Sp (µm),material_type,Total__Humerus BV (mm³),Diaphysis Cortical__Humerus Cortical Volume (mm³),Diaphysis Cortical__Humerus Marrow Volume (mm³),Diaphysis Cortical__Humerus pMOI (mm⁴),Metaphysis Canc__Humerus BV/TV (%),Metaphysis Canc__Humerus Tb.Th (µm),Metaphysis Canc__Humerus Tb.Sp (µm),Epiphysis Canc__Humerus BV/TV (%),Epiphysis Canc__Humerus Tb.Th (µm),Epiphysis Canc__Humerus Tb.Sp (µm),N,Temperature,Treatment,Group #,Body Wt (g)
1.0,10.6472,0.1347,0.28500000000000003,0.2536,5.6000000000000005,38.5,231.7,19.040000000000003,41.9,154.9,femur,,,,,,,,,,,,22C (72F),HLU,3.0,17.8
2.0,14.4045,0.1572,0.2713,0.30422,13.62,38.3,159.0,24.98,46.0,144.8,femur,,,,,,,,,,,,22C (72F),Baseline,1.0,16.1
3.0,12.9785,0.1445,0.28059999999999996,0.28024,12.839999999999998,37.3,158.29999999999998,24.959999999999997,46.9,153.29999999999998,femur,,,,,,,,,,,,32C (90F),HLU,5.0,16.5
4.0,14.6269,0.1537,0.2598,0.28516,15.7,41.300000000000004,166.9,26.26,46.0,142.9,femur,,,,,,,,,,,,22C (72F),Baseline,1.0,16.3
5.0,15.5207,0.1681,0.2573,0.32496,12.78,38.6,170.9,27.02,50.5,156.5,femur,,,,,,,,,,,,22C (72F),Control,2.0,17.5
6.0,12.9308,0.141,0.2781,0.26707,15.1,39.199999999999996,162.20000000000002,26.31,49.4,148.4,femur,,,,,,,,,,,,32C (90F),HLU,5.0,14.3
7.0,14.8668,0.1601,0.2482,0.29088,19.38,43.1,153.4,26.66,52.0,146.2,femur,,,,,,,,,,,,32C (90F),Control,4.0,16.0
8.0,14.4581,0.1566,0.26380000000000003,0.29576,12.47,38.9,167.5,22.5,45.900000000000006,132.0,femur,,,,,,,,,,,,22C (72F),Baseline,1.0,18.0
9.0,12.4859,0.1388,0.2408,0.23301,15.83,40.2,161.0,27.71,51.3,163.0,femur,,,,,,,,,,,,32C (90F),HLU,5.0,14.8
10.0,12.5501,0.146,0.24760000000000001,0.26101,15.17,37.400000000000006,149.60000000000002,29.349999999999998,51.2,142.4,femur,,,,,,,,,,,,32C (90F),HLU,5.0,14.7
