total__N,total__Temperature,total__Treatment,total__Group   #,animal_id,total__Femur BV (mm³),total__Femur Scout View Length (mm),diaphysis_cortical__N,diaphysis_cortical__Temperature,diaphysis_cortical__Treatment,diaphysis_cortical__Group   #,diaphysis_cortical__Femur Cross Sectional Volume (mm3),diaphysis_cortical__Femur Cortical Volume (mm3),diaphysis_cortical__Femur Marrow Volume (mm3),diaphysis_cortical__Femur Cortical Thickness (µm),diaphysis_cortical__Femur pMOI (mm4),metaphysis_cancellous__N,metaphysis_cancellous__Temperature,metaphysis_cancellous__Treatment,metaphysis_cancellous__Group   #,metaphysis_cancellous__Femur BV/TV (%),metaphysis_cancellous__Femur Conn-dens (1/(mm3),metaphysis_cancellous__Femur Tb.N (1/mm),metaphysis_cancellous__Femur Tb.Th (µm),metaphysis_cancellous__Femur Tb.Sp (µm),epiphysis_cancellous__N,epiphysis_cancellous__Temperature,epiphysis_cancellous__Treatment,epiphysis_cancellous__Group   #,epiphysis_cancellous__Femur BV/TV (%),epiphysis_cancellous__Femur Conn-Dens (1/mm³),epiphysis_cancellous__Femur     Tb.N     (1/mm),epiphysis_cancellous__Femur      Tb.Th     (µm),epiphysis_cancellous__Femur     Tb.Sp     (µm),material_type,total__Humerus    BV    (mm³),total__Humerus   Scout View   Length   (mm),diaphysis_cortical__Humerus Cross Sectional Volume (mm³),diaphysis_cortical__Humerus Cortical  Volume (mm³),diaphysis_cortical__Humerus Marrow Volume (mm³),diaphysis_cortical__Humerus Cortical Thickness (µm),diaphysis_cortical__Humerus  pMOI  (mm⁴),metaphysis_cancellous__Humerus BV/TV (%),metaphysis_cancellous__Humerus Conn-Dens. (1/mm³),metaphysis_cancellous__Humerus Tb.N (1/mm),metaphysis_cancellous__Humerus Tb.Th (µm),metaphysis_cancellous__Humerus Tb.Sp (µm),epiphysis_cancellous__Humerus  BV/TV  (%),epiphysis_cancellous__Humerus  Conn-Dens.  (1/mm³),epiphysis_cancellous__Humerus  Tb.N  (1/mm),epiphysis_cancellous__Humerus Tb.Th  (µm),epiphysis_cancellous__Humerus  Tb.Sp  (µm),epiphysis_cancellous__Comments,N,temperature,condition,Group   #,body_weight_g
,22C (72F),HLU,3.0,1.0,10.6472,13.6,,22C (72F),HLU,3.0,0.4197,0.1347,0.28500000000000003,129.0,0.2536,,22C (72F),HLU,3.0,5.6000000000000005,35.3681,4.3453,38.5,231.7,,22C (72F),HLU,3.0,19.040000000000003,273.2889,6.7663,41.9,154.9,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,17.8
,22C (72F),Baseline,1.0,2.0,14.4045,13.5,,22C (72F),Baseline,1.0,0.4285,0.1572,0.2713,152.0,0.30422,,22C (72F),Baseline,1.0,13.62,226.6676,6.2947,38.3,159.0,,22C (72F),Baseline,1.0,24.98,282.6654,7.3479,46.0,144.8,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,16.1
,32C (90F),HLU,5.0,3.0,12.9785,13.6,,32C (90F),HLU,5.0,0.4251,0.1445,0.28059999999999996,137.0,0.28024,,32C (90F),HLU,5.0,12.839999999999998,194.2897,6.1053,37.3,158.29999999999998,,32C (90F),HLU,5.0,24.959999999999997,289.2132,6.4523,46.9,153.29999999999998,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,16.5
,22C (72F),Baseline,1.0,4.0,14.6269,13.6,,22C (72F),Baseline,1.0,0.4135,0.1537,0.2598,150.0,0.28516,,22C (72F),Baseline,1.0,15.7,237.3021,5.9248,41.300000000000004,166.9,,22C (72F),Baseline,1.0,26.26,292.4044,7.2762,46.0,142.9,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,16.3
,22C (72F),Control,2.0,5.0,15.5207,13.9,,22C (72F),Control,2.0,0.4254,0.1681,0.2573,161.0,0.32496,,22C (72F),Control,2.0,12.78,224.7022,5.8852,38.6,170.9,,22C (72F),Control,2.0,27.02,257.1513,6.4474,50.5,156.5,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,17.5
,32C (90F),HLU,5.0,6.0,12.9308,13.3,,32C (90F),HLU,5.0,0.4191,0.141,0.2781,135.0,0.26707,,32C (90F),HLU,5.0,15.1,261.7052,6.0437,39.199999999999996,162.20000000000002,,32C (90F),HLU,5.0,26.31,307.3361,6.6328,49.4,148.4,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,14.3
,32C (90F),Control,4.0,7.0,14.8668,13.6,,32C (90F),Control,4.0,0.4083,0.1601,0.2482,158.0,0.29088,,32C (90F),Control,4.0,19.38,262.4792,6.3122,43.1,153.4,,32C (90F),Control,4.0,26.66,210.3801,6.9874,52.0,146.2,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,16.0
,22C (72F),Baseline,1.0,8.0,14.4581,14.1,,22C (72F),Baseline,1.0,0.4204,0.1566,0.26380000000000003,151.0,0.29576,,22C (72F),Baseline,1.0,12.47,170.5439,5.9299,38.9,167.5,,22C (72F),Baseline,1.0,22.5,262.6416,8.5797,45.900000000000006,132.0,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,18.0
,32C (90F),HLU,5.0,9.0,12.4859,13.4,,32C (90F),HLU,5.0,0.3796,0.1388,0.2408,142.0,0.23301,,32C (90F),HLU,5.0,15.83,253.679,6.1557,40.2,161.0,,32C (90F),HLU,5.0,27.71,272.8399,6.3888,51.3,163.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,14.8
,32C (90F),HLU,5.0,10.0,12.5501,13.6,,32C (90F),HLU,5.0,0.3936,0.146,0.24760000000000001,145.0,0.26101,,32C (90F),HLU,5.0,15.17,250.0234,6.3834,37.400000000000006,149.60000000000002,,32C (90F),HLU,5.0,29.349999999999998,302.5396,7.0275,51.2,142.4,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,14.7
